Max.Temperature,Min.Temperature,Avg.Humidity,Rainfall,Positive,pf,Outbreak
29,18,49.74,0,2156,112,No 
34,23,83.27,15.22,10707,677,Yes
40,23,50.74,0,1257,127,No
34,24,59.16,9.06,4198,211,No
34,27,73.23,0,11808,712,Yes
31,24,88.77,41.4,10881,648,Yes
33,24,77.94,23.88,8830,459,Yes
31,24,84.57,11.15,9693,482,No
36,24,53.4,2.12,9310,549,No
32,23,57.5,0,13154,838,Yes
34,18,59.4,0,2197,136,No
42,24,49.43,2.19,3362,213,No
45,32,34.74,0.38,416,26,No
43,28,69.07,4.65,7514,410,No
33,23,80.97,6.92,10990,390,Yes
32,24,87.32,11.92,6536,338,No
40,27,63.97,0,11169,776,Yes
39,25,47.52,0,8131,312,No
36,26,72.78,3.54,5138,213,No
31,23,73.35,4.97,10659,612,Yes
30,23,86.81,7.21,9041,418,No
30,22,78.8,3.12,11265,404,Yes
33,22,73.71,1.75,9233,212,No
